what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.index.core,3.9.1.v20130917-0100,"org.eclipse.mylyn.tasks.index.core",1394128224381
started,bundle,org.eclipse.mylyn.tasks.ui,3.9.1.v20130917-0100,"org.eclipse.mylyn.tasks.ui",1394128224381
started,bundle,org.eclipse.mylyn.team.ui,3.9.1.v20130917-0100,"org.eclipse.mylyn.team.ui",1394128224381
started,bundle,org.eclipse.search,3.9.0.v20130312-1625,"org.eclipse.search",1394128224406
started,bundle,org.eclipse.team.core,3.7.0.v20130514-1224,"org.eclipse.team.core",1394128224406
started,bundle,org.eclipse.team.ui,3.7.1.v20130729-1104,"org.eclipse.team.ui",1394128224421
started,bundle,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui",1394128224426
started,bundle,org.eclipse.ui.console,3.5.200.v20130514-0954,"org.eclipse.ui.console",1394128224426
started,bundle,org.eclipse.ui.editors,3.8.100.v20130513-1637,"org.eclipse.ui.editors",1394128224426
started,bundle,org.eclipse.ui.forms,3.6.1.v20130822-1117,"org.eclipse.ui.forms",1394128224426
started,bundle,org.eclipse.ui.ide,3.9.1.v20130704-1828,"org.eclipse.ui.ide",1394128224431
started,bundle,org.eclipse.ui.intro,3.4.200.v20130326-1254,"org.eclipse.ui.intro",1394128224431
started,bundle,org.eclipse.ui.intro.universal,3.2.600.v20130326-1254,"org.eclipse.ui.intro.universal",1394128224431
started,bundle,org.eclipse.ui.net,1.2.200.v20120807-0927,"org.eclipse.ui.net",1394128224431
started,bundle,org.eclipse.ui.views,3.6.100.v20130326-1250,"org.eclipse.ui.views",1394128224431
started,bundle,org.eclipse.ui.workbench,3.105.1.v20130821-1411,"org.eclipse.ui.workbench",1394128224431
started,bundle,org.eclipse.ui.workbench.texteditor,3.8.101.v20130729-1318,"org.eclipse.ui.workbench.texteditor",1394128224436
started,bundle,org.eclipse.update.configurator,3.3.200.v20130326-1319,"org.eclipse.update.configurator",1394128224436
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1394128224436
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1394128224436
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1394128224436
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1394128224441
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1394128224441
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1394128224441
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1394128224441
os,sysinfo,,,"win32",1394128224446
arch,sysinfo,,,"x86_64",1394128224446
ws,sysinfo,,,"win32",1394128224446
locale,sysinfo,,,"en_IN",1394128224446
processors,sysinfo,,,"4",1394128224446
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1394128224446
java.runtime.version,sysinfo,,,"1.7.0_45-b18",1394128224446
java.specification.name,sysinfo,,,"Java Platform API Specification",1394128224446
java.specification.vendor,sysinfo,,,"Oracle Corporation",1394128224446
java.specification.version,sysinfo,,,"1.7",1394128224446
java.vendor,sysinfo,,,"Oracle Corporation",1394128224446
java.version,sysinfo,,,"1.7.0_45",1394128224446
java.vm.info,sysinfo,,,"mixed mode",1394128224446
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1394128224446
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1394128224446
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1394128224446
java.vm.specification.version,sysinfo,,,"1.7",1394128224446
java.vm.vendor,sysinfo,,,"Oracle Corporation",1394128224446
java.vm.version,sysinfo,,,"24.45-b08",1394128224446
closed,view,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.internal.introview",1394128235291
deactivated,workbench,org.eclipse.ui.workbench,3.105.1.v20130821-1411,"",1394128241361
activated,workbench,org.eclipse.ui.workbench,3.105.1.v20130821-1411,"",1394128245436
executed,command,org.eclipse.ui.ide,3.9.1.v20130704-1828,"org.eclipse.ui.edit.text.openLocalFile",1394128245456
deactivated,workbench,org.eclipse.ui.workbench,3.105.1.v20130821-1411,"",1394128250346
activated,workbench,org.eclipse.ui.workbench,3.105.1.v20130821-1411,"",1394128271161
executed,command,org.eclipse.ui,3.105.0.v20130522-1122,"org.eclipse.ui.file.import",1394128271166
deactivated,workbench,org.eclipse.ui.workbench,3.105.1.v20130821-1411,"",1394128271811
activated,workbench,org.eclipse.ui.workbench,3.105.1.v20130821-1411,"",1394128272626
closed,view,org.eclipse.mylyn.tasks.ui,3.9.1.v20130917-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1394128272651
closed,view,org.eclipse.ui.views,3.6.100.v20130326-1250,"org.eclipse.ui.views.ContentOutline",1394128272661
closed,view,org.eclipse.ui.ide,3.9.1.v20130704-1828,"org.eclipse.ui.views.ProblemView",1394128272666
closed,view,org.eclipse.jdt.ui,3.9.1.v20130820-1427,"org.eclipse.jdt.ui.PackageExplorer",1394128272671
closed,workbench,org.eclipse.ui.workbench,3.105.1.v20130821-1411,"",1394128272786
closed,workbench,org.eclipse.ui.workbench,3.105.1.v20130821-1411,"",1394128273036
stopped,bundle,org.eclipse.m2e.logback.configuration,1.4.0.20130601-0317,"org.eclipse.m2e.logback.configuration",1394128273216
stopped,bundle,org.eclipse.m2e.discovery,1.4.0.20130601-0317,"org.eclipse.m2e.discovery",1394128273221
stopped,bundle,org.eclipse.m2e.editor,1.4.0.20130601-0317,"org.eclipse.m2e.editor",1394128273221
stopped,bundle,org.eclipse.m2e.editor.xml,1.4.0.20130601-0317,"org.eclipse.m2e.editor.xml",1394128273221
stopped,bundle,org.eclipse.m2e.jdt,1.4.0.20130601-0317,"org.eclipse.m2e.jdt",1394128273221
stopped,bundle,org.eclipse.m2e.launching,1.4.0.20130601-0317,"org.eclipse.m2e.launching",1394128273221
stopped,bundle,org.eclipse.m2e.refactoring,1.4.0.20130601-0317,"org.eclipse.m2e.refactoring",1394128273221
stopped,bundle,org.eclipse.recommenders.completion.rcp.templates,1.0.5.v20130822-0858-b90,"org.eclipse.recommenders.completion.rcp.templates",1394128273226
stopped,bundle,org.eclipse.recommenders.completion.rcp.calls,1.0.5.v20130822-0858-b90,"org.eclipse.recommenders.completion.rcp.calls",1394128273226
